file,pdf_page,label,title,width_px,height_px
p029_2.png,29,그림I-18,그림 I-18. 소비자물가 상승률 및 품목별 기여도1),204,194
p030_1.png,30,그림I-19,그림 I-19. 근원물가 상승률,203,159
p030_2.png,30,그림I-20,그림 I-20. 기조적 물가지표1),209,187
p030_3.png,30,그림I-21,그림 I-21. 기대인플레이션율,201,192
p031_1.png,31,표I-13,표 I-13. 물가상승률 전망1),201,130
p031_2.png,31,그림I-22,그림 I-22. 물가상승률1) 전망,201,224
p032_1.png,32,그림I-23,그림 I-23. 국고채금리 및 10년-3년물 금리차,198,207
p032_2.png,32,그림I-24,그림 I-24. 주요국 국채금리 변동1),198,216
p033_1.png,33,그림I-25,그림 I-25. 주요 단기금리1),202,405
p034_1.png,34,그림I-26,그림 I-26. 회사채 금리 및 신용스프레드1),210,286
p034_2.png,34,그림I-27,그림 I-27. 은행 여수신금리1),198,216
p035_1.png,35,그림I-28,그림 I-28. 코스피 및 주가변동성지수,202,393
p036_1.png,36,표I-15,표 I-15. 기업의 자금조달,203,594
p037_1.png,37,그림I-29,그림 I-29. 외국인 채권 보유증감 및 보유비중1),198,216
p037_2.png,37,그림I-30,그림 I-30. 외국인 주식 순매수1)2) 및 보유비중1)2)3),202,287
p038_1.png,38,그림I-31,그림 I-31. M2 증가율1) 및 공급부문별 증감2),198,217
p038_2.png,38,그림I-32,그림 I-32. 금융상황지수1),208,269
p039_1.png,39,그림I-33,그림 I-33. 주택매매가격 상승률 및 주택매매거래량,209,192
p039_2.png,39,표I-16,표 I-16. 주택매매‧전세 가격 상승률 및 주택매매거래량,202,328
p040_1.png,40,그림I-34,그림 I-34. 예금취급기관의 가계대출 증감,202,249
p040_2.png,40,표I-17,표 I-17. 예금취급기관의 가계대출,203,329
p041_1.png,41,그림I-35,그림 I-35. 원/달러 환율1) 및 원화 명목실효환율 지수2),201,224
p041_2.png,41,그림I-36,그림 I-36. 원/달러 환율 변동성1)2),201,232
p042_1.png,42,그림I-37,그림 I-37. 내외금리차1) 및 차익거래유인2),201,203
p042_2.png,42,그림I-38,그림 I-38. KP 스프레드1) 및 CDS 프리미엄2),201,194
p042_3.png,42,그림I-39,그림 I-39. 대외 외화차입 장단기 가산금리1)2),201,221
p043_1.png,43,,,190,533
p044_1.png,44,,"￭ 글로벌 AI 투자는 AI 수요 확대, 시장주도권 확보를 위한 경쟁 등에 힘입어 상당기간 증가 흐름을",408,74
p044_2.png,44,,미국 주요 빅테크 기업 설비투자액(CAPEX),198,174
p044_3.png,44,,국내 반도체 수출액,199,208
p045_1.png,45,,미국 기업의 AI서비스 채택률1),199,207
p045_2.png,45,,국가 정책 지원 내용,186,98
p045_3.png,45,,주요 기관의 글로벌 AI 투자 증가율 전망,200,182
p046_1.png,46,,주요 AI모델 기업의 연환산 매출1) 추이,198,239
p046_2.png,46,,건설중인 美데이터센터 규모,199,305
p047_1.png,47,,빅테크1) 회사채발행 및 CAPEX2),198,220
p047_2.png,47,,빅테크 CDS 프리미엄1),199,256
p049_1.png,49,,"￭ (반도체 경기) 낙관 시나리오에서는 성장률이 기본전망보다 금년과 내년 각각 0.2%p, 0.6%p 높아",408,138
p049_2.png,49,,향후 반도체 경기와 중동상황을 둘러싼 불확실,412,372
p050_1.png,50,,시나리오별 GDP 성장률 전망,199,161
p050_2.png,50,,시나리오별 소비자물가 상승률 전망,199,368
p051_1.png,51,,￭ 최근 수도권 주택가격이 높은 상승세를 이어가고 가계대출도 견조한 증가흐름을 보이는 등 금융,408,90
p051_2.png,51,,지역별 아파트가격 상승률1),197,164
p051_3.png,51,,수도권 아파트거래량1)2),202,202
p052_1.png,52,,금융권 가계대출 추이1)2),210,222
p052_2.png,52,,금융권 가계대출 월별 누적증감1),206,273
p053_1.png,53,,수도권 주택착공물량1),208,189
p053_2.png,53,,지역별 초고가주택 거래비중 및 최근 매도물량 증가율1),206,175
p053_3.png,53,,반도체 벨트1) 주택가격2) 및 신고가 거래,206,205
p054_1.png,54,,기간별 가계대출 월평균 증감1),207,210
p054_2.png,54,,은행 가계대출 금리 및 가계대출 증감1),206,214
p054_3.png,54,,주택가격전망CSI1),206,219
p055_1.png,55,,￭ 금년중 국내 주식시장의 변동성 확대는 업황 전망의 가변성이 높은 반도체 섹터에 대한 집중 심,408,133
p055_2.png,55,,최근 국내 주가 변동성 상황,409,141
p055_3.png,55,,국내 주가 변동성1) 추이2),200,222
p056_1.png,56,,주요국1) 주가 변동성2),199,241
p056_2.png,56,,주요 반도체 기업의 코스피 상승·하락 기여율1),199,216
p057_1.png,57,,주요국 반도체 기업1) 주가,201,225
p057_2.png,57,,외국인 국내주식 보유비중1) 및 보유잔액2),201,294
p058_1.png,58,,주체별 순매수1) 추이,199,171
p058_2.png,58,,개인의 증권사 주식관련 대출1),199,189
p058_3.png,58,,국내 상장 레버리지 ETF 유형별1) 시가총액,199,198
p059_1.png,59,,주식선물 미결제약정 및 거래대금1) 규모,199,202
p059_2.png,59,,단일종목 레버리지1) ETF 국가별 시가총액,199,254
p059_3.png,59,,국내외 상장 단일종목 레버리지 ETF 거래 흐름,402,149
p060_1.png,60,,주가 변동성 확대 메커니즘,423,195
p061_1.png,61,,Ⅱ,312,191
p061_2.png,61,,1. 기준금리,309,222
p063_1.png,63,그림II-1,그림 II-1. 한국은행 기준금리1),198,216
p063_2.png,63,그림II-2,그림 II-2. 국제유가1) 및 유가 변동성 지수,206,216
p064_1.png,64,그림II-3,그림 II-3. 지정학적 리스크 지수1),209,179
p064_2.png,64,그림II-4,그림 II-4. 지출부문별 성장기여도,201,184
p064_3.png,64,그림II-5,그림 II-5. 원/달러 환율 및 미 달러화 지수,202,192
p065_1.png,65,그림II-6,그림 II-6. IT1) 및 비IT 수출 기여도,201,181
p065_2.png,65,그림II-7,그림 II-7. 예금은행 가계대출 증감 및 주택가격,209,196
p065_3.png,65,그림II-8,그림 II-8. 실질GDP 및 GDI 증가율,209,195
p066_1.png,66,그림II-9,그림 II-9. 통화정책방향 결정회의(2026년 8월 27일),202,160
p066_2.png,66,그림II-10,그림 II-10. 성장 전망 변화,203,180
p066_3.png,66,그림II-11,그림 II-11. 물가 전망 변화,201,199
p067_1.png,67,그림II-12,그림 II-12. 기준금리 및 콜금리,215,210
p067_2.png,67,그림II-13,그림 II-13. 공개시장운영 수단별 지급준비금 조절규모1),201,216
p068_1.png,68,,무역금융지원,184,133
p068_2.png,68,그림II-14,그림 II-14. 한국은행 금융중개지원대출의 한도 및 금리1),202,327
p069_1.png,69,,,190,526
p070_1.png,70,표II-2,표 II-2. 정부에 대한 일시대출,203,473
p071_1.png,71,,중동전쟁 발생에 따른 국내외 금융‧,162,108
p072_1.png,72,,,198,486
p073_1.png,73,그림II-15,그림 II-15. 외환시장 24시간 개장 전후,201,229
p073_2.png,73,그림II-16,그림 II-16. 국내 외환시장의 원/달러 현물환 거래량1),201,220
p074_1.png,74,,,190,526
p075_1.png,75,표II-4,표 II-4. 공동검사 실시 횟수,202,379
p076_1.png,76,그림II-17,그림 II-17. 예금 토큰 활용 전기차 충전시설 구축 사,198,149
p077_1.png,77,그림II-18,그림 II-18. 아고라 플랫폼의 구조,199,356
p079_1.png,79,그림II-19,그림 II-19. 수출 및 내수 전망1)2),206,231
p079_2.png,79,그림II-20,그림 II-20. 물가상승률 전망1)2)3),207,336
p080_1.png,80,그림II-21,그림 II-21. 주택가격전망CSI1),207,596
p081_1.png,81,그림II-22,그림 II-22. 2026년 5월 금융통화위원의 6개월 후 조건,209,209
p081_2.png,81,그림II-23,그림II-23,214,348
p082_1.png,82,그림II-24,그림 II-24. 이수형 금융통화위원 기자간담회(2026년 3월 17일),201,175
p082_2.png,82,그림II-25,그림 II-25. 신성환 금융통화위원 기자간담회(2026년 5월 11일),201,175
p082_3.png,82,그림II-26,그림 II-26. 유상대 부총재 기자간담회(2026년 8월 11일),201,174
p083_1.png,83,,,190,558
p084_1.png,84,,￭ 한국은행은 통화정책 수단으로서의 기능을 확충하고 지방중소기업에 대한 지원을 강화하는 방향,408,92
p084_2.png,84,,금융중개지원대출 제도는 2013년 개편된 이후,412,195
p084_3.png,84,,대기업 및 중소기업의 자금조달 비교,199,212
p085_1.png,85,,금융중개지원대출 개편에 따른 프로그램 변화,199,268
p086_1.png,86,,지방 GDP 대비 지방중소기업지원 프로그램 한도1)2),199,392
p087_1.png,87,,￭ 주요 선진국 중앙은행은 중동전쟁 이후 에너지가격 상승에 따른 물가상승압력 증대에 대응하여,408,83
p087_2.png,87,,주요국 인플레이션1)2),203,164
p087_3.png,87,,주요국 정책금리1),203,211
p088_1.png,88,,금융시장의 미 연준 정책금리 기대 변화1),201,216
p088_2.png,88,,유로지역 및 영국1) 물가 전망 변화2),203,285
p089_1.png,89,,일본 정책금리 및 주요 물가지표1),209,151
p089_2.png,89,,정책금리 조정 현황1),202,390
p090_1.png,90,,시장가격변수에 내재된 주요국 중앙은행 정책금리 기대1)2),208,142
p093_1.png,93,,Ⅲ,312,191
p093_2.png,93,,1. 명목 성장률 급등의 금융∙경제 영향 점검 및 시사점,300,222
p095_1.png,95,그림III-1,그림 III-1. 명목 및 실질GDP 성장률1),202,205
p096_1.png,96,그림III-2,그림 III-2. 명목GDP 성장률 기여도 분해1),200,173
p096_2.png,96,그림III-3,그림 III-3. 주요 수출품목 가격1) 및 교역조건 추이,200,168
p096_3.png,96,그림III-4,그림 III-4. 교역조건 변화1)의 수출입물가2) 기여도,201,208
p097_1.png,97,그림III-5,그림 III-5. 명목 성장률 상승기의 수익성1) 및 설비투자2),204,210
p097_2.png,97,그림III-6,그림 III-6. IT 및 여타 제조업 부문의 성장성∙수익성1),209,186
p098_1.png,98,그림III-7,그림 III-7. 수익성 개선의 설비투자 영향1),204,166
p098_2.png,98,그림III-8,그림 III-8. 국세수입 및 재정지출 전망1),204,177
p098_3.png,98,그림III-9,그림 III-9. 명목GDP 및 명목임금1) 상승률,201,178
p099_1.png,99,그림III-10,그림 III-10. 명목 성장률 상승기 중 근로소득1) 추이,204,189
p099_2.png,99,그림III-11,그림 III-11. 산업별 고용유발계수1),201,176
p099_3.png,99,그림III-12,그림 III-12. 주요 업종별 전∙후방 연쇄효과 지수1),201,191
p100_1.png,100,그림III-13,"그림 III-13. 소득계층별1), 업종별 소득2) 격차",201,159
p100_2.png,100,그림III-14,그림 III-14. 경기국면별 수요압력의 물가 파급영향1),204,174
p100_3.png,100,그림III-15,그림 III-15. 임금 상승의 서비스물가 파급1),201,183
p101_1.png,101,그림III-16,"그림 III-16. 국제유가, 국내공급물가 및 수입물가 추이",204,165
p101_2.png,101,그림III-17,그림 III-17. 국가별 명목GDP 대비 가계부채 비율,201,166
p101_3.png,101,그림III-18,그림III-18,201,184
p103_1.png,103,,부록,312,191
p103_2.png,103,,1. 금융통화위원회 주요 의결사항,314,222
p105_1.png,105,,1. 금융통화위원회 주요 의결사항160,204,549
p112_1.png,112,,2. 통화정책방향에 대한 금융통화위원회의,250,373
p113_1.png,113,,3. 그림 및 통계표,185,73
p117_1.png,117,,4. 부문별 담당부서 및 집필자,284,569
p119_1.png,119,,,216,729
